Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
GO_Biological_Process_2023,Negative Regulation Of Bone Remodeling (GO:0046851),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Cell Activation (GO:0050865),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Calcium Ion Transport (GO:0006816),2/112,0.0263115406387279,0.0749671795660133,0,0,8.391120507399577,30.52477872616749,CCL3;CACNA1A,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Hematopoietic Stem Cell Differentiation (GO:1902036),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,EIF2AK2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Neuroinflammatory Response (GO:0150078),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904994),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Neutrophil Mediated Immunity (GO:0002446),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Macrophage Migration (GO:1905517),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Sensory Perception (GO:0051931),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation By Host Of Viral Transcription (GO:0043922),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,CCL4,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Calcium-Mediated Signaling (GO:0050850),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,CCL4,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Dendrite Self-Avoidance (GO:0070593),1/12,0.0266754381277838,0.0749671795660133,0,0,41.20661157024794,149.33325716982057,NEXN,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),2/114,0.0271870939368293,0.075752073704328,0,0,8.240448504983389,29.706923210882845,FSCN1;NEXN,GO_Biological_Process_2023,lps_receiver
